I need to make sure to reach ~40-50 events.類別,子類別,事件名稱,開始日期,結束日期,備註,Link1,Link2
市場與資本,市值里程碑,NVIDIA市值首次突破3兆美元,2025-05-28,2025-05-28,NVIDIA憑藉其AI晶片在市場上的主導地位，市值達到3兆美元，超越許多全球大型企業，彰顯AI產業的巨大潛力及NVIDIA的領先地位。,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGAz6tjtBGdnjMVd_RQGuO5DC5A0TfL7k0aEAE3s57VaTuCSYOJ5Cc8ylkY7wfsptEK91EJCxUHZeDsVDN_AiTx43U7NMnV4t3ePNSSvRwX_Y3QIcUDem9l7RSDn5d1NybXd8yWBs_gqomF6WqLMN-1_82Wfn6Zht_O-DmBTt84s-3eHtlM-pPjFkQV1MRLVFonMtd4eDAkkyJpdcBvrq73Qy0_0OCqjwyiqto9kK-3dn2klRSU4grvsHaPGFTYLf1X6FiTurcLq16Zaw38QA0XKqhIs_1bOG7GGJSnrEF4qILHBZHaMJ6wrLb0Dg==,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEsDvLWWlh74-anM4RtMFuTwSfEEOMSBrdTFjeESvrxJRGg2zOScg-kQlCPfcqwXi2PxPjM-x8WhYYhXKbDtnQSQejM9ekJA3pUP7O12-HzZp0TBIyzlUh38IFsnZWWqOQg2uZTizPHZP3fBVO6-iTxW8fYXOw2fFcawe1dsdSeYXUGuqSuUWm9PyRUHtZVpgpvnzfhJj0LMLfnm5GdjpO_o5KDs-habZJbi8uu32Esz8rsndtGfCqZC_HqRHPs-XMaqpVpTLu6po-SV5pK22RwpS0XjA7Waj0ucUrvMaRdcvPQ6Of6psm7C2CWLNpr6jnw1Ef_VlOujYlXqGPEfTk=
市場與資本,市值里程碑,NVIDIA市值盤中短暫超越Apple，創歷史新高,2025-07-03,2025-07-03,NVIDIA市值一度突破3.92兆美元，短暫超越Apple，成為全球最有價值公司，凸顯AI晶片市場的強勁需求和NVIDIA的行業領導地位。,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEsDvLWWlh74-anM4RtMFuTwSfEEOMSBrdTFjeESvrxJRGg2zOScg-kQlCPfcqwXi2PxPjM-x8WhYYhXKbDtnQSQejM9ekJA3pUP7O12-HzZp0TBIyzlUh38IFsnZWWqOQg2uZTizPHZP3fFVO6-iTxW8fYXOw2fFcawe1dsdSeYXUGuqSuUWm9PyRUHtZVpgpvnzfhJj0LMLfnm5GdjpO_o5KDs-habZJbi8uu32Esz8rsndtGfCqZC_HqRHPs-XMaqpVpTLu6po-SV5pK22RwpS0XjA7Waj0ucUrvMaRdcvPQ6Of6psm7C2CWLNpr6jnw1Ef_VlOujYlXqGPEfTk=,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGYCqnbnsN7BlInOSXu2zTlpPI3g85ZPohB3BcLOFVMaUpHZDQ2f4OOcZD3xbbfrTljsUZcwxgDqNP7okPXus4BJthgH2JJuWHHU6q-0bgKht5xwo_kUE6QaryF0lUW6sw=
市場與資本,市值里程碑,NVIDIA股價重挫跌出3兆美元市值俱樂部,2025-02-29,2025-02-29,NVIDIA股價大跌8%，市值蒸發2730億美元，市場對出口管制、AI技術變革及成長放緩等問題擔憂加劇。,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFfxe8BUwW5s-3AWIqtcOX-PxiywuVf7TgiE57j9jLO3dX0QClIbGWqrhRq94dn9OCP_4A7ad661wU1-DqJbgAVqEJzfn7do_EjYI4hGAzrdDY_Ohj8Q2jFV_y51_JWhscOzfma_ropbKWSgdPqEM0f6FYC58tiLtY63Oq3XV7vt8sbiGv531fRdhhdZlDLOC7Pe_TRDSJ-omTktg==,
市場與資本,股價波動,Super Micro Computer受AI伺服器需求及評級調升股價飆漲,2025-02-14,2025-03-24,因Meta投資機器人帶動伺服器需求、市場預期獲得大規模AI伺服器訂單、以及摩根大通將其評級調升等利好消息，股價持續大幅上漲，成為標普500指數表現最佳股票之一。,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQERV9CpBEzSM8nuc1AqP9sVexBpCIbocpLpDjxgFbOAtmu4l0mnWUSiW-_QU121JJZNb7w8Cl8HF_h31weTBOrLUaO8vKC5fxL9wDHwaSzQsHHcrIBWM8PNsoiHU-XQ2MEhlckGTg==,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG_q6K3YPPl1BGbm6v7qhJV7MNW3fK_7T8AToSMNVUPx52pXc_F-TSg5Ee45P7PgOu3jjV9BxmJCPtWKFE0Zvj6FHo-2Ii43_aD1MawmQ_FrxZh17VmSRp4UuI1y5lu3KhuWsq-HAVfVOkjTd9hp9sY98RK1X4DHCpA5ziLO098Vp-uYDyBnk9B4zL0X77DYWwQilM8GKAmNaRXy83LpheUJxs2BnT43yhLBsIPKPqtycCR1cWNuyqMGZnwml52lNR6coZIMvn53xOG9euF3kEC8I_hui_RpGc_WE8h5HbDS2KnScxdA-5SKJWLopB_KI4d4fpyyd-N3CI_NcZmXCsjaHEuGOm3X6vVsNo_
市場與資本,股價波動,教育平台Chegg承認ChatGPT影響業務，股價單日腰斬,2023-05-02,2023-05-02,Chegg CEO承認ChatGPT導致新客戶增長率下降，引發股價閃崩49%，市值蒸發約145億美元，對線上教育產業造成巨大衝擊。,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEI6sdZzqE5apWIP8GIu8lKQJ0CNQ7mJf7S8vmaFm0HwR0A9s4-B-6Y7ocaOml1ILScc6Es-CSeiRMKK3vaDQSfqEUVcSsAtxTSDxPomImL9VSRuamtSVD4Ph7mmrl8yMu3dMk=,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGrJdkqgPa7Lu4WbMuDJw0g5acu48D7amVD3QBW0LB0U1yQyK-tVn2FFAK0ZQOK2qTALZRe69FY2NN_mH7mxNyOOQZTrlcfSLzLXRDxDT0UWUVcE1xm0Hetxcocl4Sr68KJ3FuafKSqAjM7NtwOzsynuBnvOBEbqXWPNjhmgJuupvalKoHhl19ajh4emYWGNrfD3o7g
產品發布與商業化,生成式AI應用,OpenAI發布ChatGPT，引爆全球生成式AI浪潮,2022-11-30,2022-11-30,推出後迅速達到百萬用戶，改寫AI技術發展軌跡，深刻影響全球經濟並帶動科技股飆漲，開啟AI軍備競賽。,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFpzueNjtGgM7BktkYnSsfiEOaP1D1pwhYwiFzNFSAjVBaocvMlsd4hO9x6VuNF0t9cs4ZDalvByAtgIOht9Uu69ojM508MUQQTpmDJSEy_OpjtAKZNH3gdtHigHbP1xpkY3RdRlfwqIX5XNja1nExFGnaYXlUw3falrmqe4iqIFSJ57ZCFt3uv1oruWJQoH25zrgN85-Mlak_IHR3p6Ryue3TCT2VZAE6mbqAn0KHKeaTNChwF63e8shG1Q_9wYlarcMpvx_zx6dy2kQX6RcUfZP-g0XTMCBdGIdS23IxM4wJcMgK-hp92YTWnVI_-6ase2eP2kxkEwBs8NCKz4IrZQZhZuEJQUOjxqsdsDXjDXN21n7xMJ0fmPaEAN5jkcyM=,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHoEU7ZIlTP8HAYQ29c-yyukN6fc05Z6w4rmFIyEZH1JDNgA2qcgTH0NCNJ74PMlQrZKuGWaI7Hj3nRFWSNwJiH2pC-jdX2AlNL92LNxZm1Hhyr9NSN8gpnTXPwcjqlnSq0GDsLQg5PBmB7gC2VMu8cPJNStcObnPs_R7bewUphWMw12aJSrqdPehIht4_9qt05Q62_RtioZWHYn4xWwj5a
技術突破與轉折點,關鍵論文,Google發表《Attention Is All You Need》論文,2017-06-12,2017-06-12,提出Transformer架構，為現今大型語言模型（如GPT系列）奠定基礎，被視為現代AI的奠基性文獻，推動AI熱潮。,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFRqGixG-59hTRfZlYDYB5i2iVbW2wH6GgIzfOg1IfHZ9JbYjOE0EUn4P9Yhxu5s26U0VFjvoWojU0NerqVu2OMfn_j5EcIzbHTvP4M5MnOdLkrp9trAyR4_9BQ6JGT0AsPUIuWWA3VsE3pl2jBjw==,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHF-CcM4kRMtVK8tXDO8rHVNmsRm81LUut6YO3jZ6pqz_nf2OpuzJnRfNajY9nv2lcecYme81rv9vxayPGGLqMzrGma3ga8DjD4A08Qq3ILxKd9SpdoVEUfI-AiUrsOBLQ_iDKErOiM9p8gSv1hVBlCDuUU=
政策與監管衝擊,貿易限制,美國首次限制NVIDIA及AMD高階AI晶片出口中國,2022-09-01,2022-09-01,美國商務部要求NVIDIA停止向中國出口A100和H100晶片，引發NVIDIA和AMD股價大跌，影響兩公司在中國市場的收入預期。,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHTaeAfU3ZgnlfAy_M0JM7nHc-31xYlvZve9cKUEFOPd7NUnqgfcXUVGLD46E3ArnBK5mjulFKnwC7Snn-0b3mmdr2jOG0T8dc2eIMVHnBzJpu16tqRGEksLbUWUwo_liqnBQgnU6xZBMwRTh-s5Eyz2To7wSp-GA==,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHFM-J0OcCtJ0--9z3Z9IyH0ZVvtHoV_wGFRgjhY7Dt_rbIL6TtOnkyRATdU44VZj4bp0K4tP4pPzPEIRYsRlsVoQT04QLOd0kQoH_CWxdKeV8WM7MoDNYnGZ3EOYPR6mmtM66MPE-h3juvBDicpmzPrLtQQ-ZzVwyAMF_feGNrTXh4HU_9Mp3_YJJX64cQFk
產品發布與商業化,硬體與基礎設施,AMD Instinct MI300系列資料中心GPU加速器正式發布,2023-12-06,2023-12-06,AMD發布針對AI數據中心的新一代MI300系列晶片，性能大幅提升，挑戰NVIDIA在AI加速卡市場的主導地位，預計MI300銷售額可達20億美元。,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGvTwSqXlokgcrMULkn_BmqsGVYsvSxquEMe0cM3ggKA6hAkZjm1ykjzCEwR27FI1cIaTOwASNpZNlXyCbG9qnzE4mVx_FS2sNvmE6Amqw8vx8uQwiU3qUpfrXQHnLwqEf_V1sB8fr4TdXFQJ_vLAmtKsOmxvv36Mw7jY7fja76zvZNILt5I1wVqs4Jrw9A6PRJN1DfgaPrqv5RMH6cCEwXemvcF2YHaogvvQUTxE=,https://vertexaisearch.google.com/grounding-api-redirect/AUZIYQFFAxeLjWc3hiShwHV7d0Ix5Fp63YIdmLlx8Ob_VC3YuuY5TNFAVqxXgCoBdhyJb9IJyAce2o9cDdU07x_aMnNMP1JYXW9cz7Lg3PjIvonxCsQ8rFrTOVmHM-QzeB8vBAjaQMzwULdKfudR4139bjGUYw==
政策與監管衝擊,貿易限制,美國對NVIDIA H20及AMD MI308等AI晶片實施更嚴格出口管制,2025-04-15,2025-04-15,美國商務部宣布更嚴格的出口管制，禁止未經授權向中國出口高階AI晶片，對NVIDIA、AMD、Intel等公司在中國市場的營收造成影響。,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGDfGbU_3SeemWh2YD-2A6y_YTuOSLE3AiN1g2JB4EL5keYFRz5Kx87s2ta294EJgo1X6sIQxW0_-SPlugM3uWmn3s607ugo1SMopxJYWVk13hKthpgOnFrLrpw8XK1eZpKul4zsGTvcIYAnVRBMyYDyHNW,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFfDwC_vyAJgrKN3OyqYX3cYdGDZygbH-cQVyYQeu53HEDlpQT1wvpX1CGgUtJo9scoi_sBDA2lMsY1X1LYUNupLwGku0MOjtc1wK-hf0WsljFnXHCx-E5r3aHF1DHXTYjajSrw0iVrp17N1HahkxeZNAJvcP3dxLnb
