以下是從1990年至今，導致全球（美國）或台灣股市顯著下跌（崩盤、修正或熊市）的歷史事件列表，以繁體中文CSV格式呈現。

"類別","子類別","事件名稱","開始日期","結束日期","備註","Link1","Link2"
"政策衝擊","證所稅事件","1990年台灣證所稅事件","1990-02-12","1990-10-01","台股加權指數從12,682點狂跌至2,560點，跌幅高達79.88%。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHw-EGkBLSna_JTPj9Ov_Z_csN_JM2pGLNuK6gOqcya42y6e-fi5fGWihceaclhNL4w6urS6T4GFwiNie0EJPsasGGRclQMDkHyMa3NWO7JyrjZQCJGPgC0iBhiAjBNU234YJx2gMof_JEtLA==","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFrgnB1aKki6VPyQ3ssepNH5K1JWwBB85X6ODxokQmrLK_f3RUkAT_j3gUTUsKLimyCFO1b0IQwJQ0t5bwQi0zhKi3u-uoZLt1jWxJUbf7WQGuoA5D_0BTmUbN17g_xO2Xw0UJJ1bC7PmBWP0Ve_ytO2o2jBKkK4b8i2EJB5WQMOw=="
"地緣政治","戰爭衝突","1990年波斯灣戰爭","1990-08-02","1991-02-28","投資者對戰爭憂心忡忡，道瓊工業平均指數下跌了21%。台股亦受衝擊，從12682點一路狂跌至2485點。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFAd_-Hwy5pnT3ByfKYvpgYQ4vLwifn_FSV9VtJqg751odkb5ZCceZdbY_fK-UUXMNew3F8zvC-GnHGTBTPGP18w2XMZVSQtdo01ULPUY4f3FAVHeTB_prOc_M4mhyezrnS11eWLg==","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEwUStkHFAgsbdtLhlUon5MeEdUz_t8yi93h9rCZFu4MV5VM--R1v2eIh_jkjlzl9tiSXCqGAdycM8N4O6or9W4z6roWT3NBiqcwWjXnFDBWV9wsYra_kSqzMJY9GAS-zQ3qkmkrN8="
"金融危機","其他金融危機","1994-1995年墨西哥金融危機","1994-12-19","1995-03-03","墨西哥比索兌美元匯價暴跌42.17%。墨西哥股市IPC指數累計跌去47.94%，阿根廷股市也受到波及下降14%。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEBWsJmXIAU5T62NBCF3cg28woIJCrlxSidv0GqzmBEgcVW3jgmwj-nDUR4Zlkeo71HG8B2xYcC7n9w6_-JecBLawJdnOLshFe1BIVfmGIPTG59C2DDvPKFeBSeSnPbpVA5ywEypEy_sRtk_nSO-1EZAsLYTQPhbKuXmKI-zovOw32fd-SbtgVAZi-OmGxXCE8RGZc0YD_P","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQH2moljm1AqXeTpgsQ3iut19qMhY1Q4gHjfGAFnrhhozPHLTvqFnWa3OFnGm-FnfQQLtQ0f_KsSq5kPfiJJAhZu4-4WtjRXyU91G0fyTiOWhFGVQOlvp6iEojlchjubM8klaa1-B4RYPhI2jEGZ0H8zZAJuR5E9o_MaVqcoZZCJCf4DD5J_BwZlX_AWi8gEC3Q9EeEBAJYb8JlL9KiSKBW6tFpkW6ruaT08TKFWhDQO0ZDW3IRtk8uFc9n8ekjD9R-U="
"政策衝擊","貨幣政策","1994年聯準會升息衝擊","1994-02-04","1994-11-15","聯準會一年內七次升息，聯邦基金利率從3.0%升至5.5%，導致債券市場出現「大屠殺」，股市雖未大跌但波動加劇。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGnCKrQxxdNFepb8acqhlBpc6RsEIFe7d7wHzB22nF20Usfo26nRoEuITfQnNnzZJbjMdSUwXIWWOlptjLw4zseet9nL4nga-GaelMVDrLNaUCZtFEgmwy_wUO9Czi4N_LW","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFoPRvAA8HCcDCZwHlRk7BHoGSddJPGzSGtoCphjhD-Isj9wE_TAY9qFM8lJqltKqr42U2zYDbA2_6Xm1ujQouGgi_rVsN3KXNCawzd9XdGmLevfABz6R5VMWphAceuHa8mZntY7b7jcfAh4K6s"
"地緣政治","政治黑天鵝","1995年台灣海峽飛彈危機","1995-07-21","1995-08-15","中共在台灣海峽進行飛彈試射，引發戰爭恐慌。台股從7,051點下跌至4,503點。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHw-EGkBLSna_JTPj9Ov_Z_csN_JM2pGLNuK6gOqcya42y6e-fi5fGWihceaclhNL4w6urS6T4GFwiNie0EJPsasGGRclQMDkHyMa3NWO7JyrjZQCJGPgC0iBhiAjBNU234YJx2gMof_JEtLA==","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHwPwwuFfOdMR5aFSqVXa5GH2Ru2a5FIYpkiVE6BMNHHS4pa0U-IF0rjupqZR5rD6Lp9LAC6Ll7Ml4GOK0P6eGFC7nkC7cWM2X2-VAO3khRY-KHB4JCjucHI6wYD4SMTuVL6_r-AgdGSrfRGVu8fg=="
"地緣政治","政治黑天鵝","1996年台灣海峽飛彈危機","1996-03-08","1996-03-25","中國解放軍再次在台灣海峽進行導彈演習，加劇台海緊張情勢，股市下跌。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHwPwwuFfOdMR5aFSqVXa5GH2Ru2a5FIYpkiVE6BMNHHS4pa0U-IF0rjupqZR5rD6Lp9LAC6Ll7Ml4GOK0P6eGFC7nkC7cWM2X2-VAO3khRY-KHB4JCjucHI6wYD4SMTuVL6_r-AgdGSrfRGVu8fg==",""
"金融危機","亞洲金融風暴","1997年亞洲金融風暴","1997-07-02","1999-02-05","泰國放棄固定匯率制引爆危機，迅速蔓延至東南亞各國，股市普遍跌幅達50%以上。台股狂跌近2年，跌至5,474點，跌幅超過三成。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHw-EGkBLSna_JTPj9Ov_Z_csN_JM2pGLNuK6gOqcya42y6e-fi5fGWihceaclhNL4w6urS6T4GFwiNie0EJPsasGGRclQMDkHyMa3NWO7JyrjZQCJGPgC0iBhiAjBNU234YJx2gMof_JEtLA==","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFYu4Mou2BO6dOvm9Y-u4fFgAhlrvhzrtfyYYj9s5tlc-g8iqLoMRAEvjv8S0kxGEoDtsgPWFzfZHI7cuOUSwooxraUpVqqOLu5yGG5b2DHGi9_zDuXjy1WPyfei2ELiXF8eTy26cYxkwjz6qvvG0r95mo_D45SPw=="
"金融危機","其他金融危機","1998年俄羅斯金融危機與長期資本管理公司倒閉","1998-08-17","1998-10-31","俄羅斯政府債務重組引發盧布貶值，股市急劇下跌。長期資本管理公司倒閉對全球金融市場造成震盪。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEsL8An_BKQdCXg0A1UIXUI25OYHUHUnbgQ0gxkwQ5fz4kBVZwAmGCoDn9WysQoM7Sg5NfBGn76RBTQmSAIyPxYpRfPVJtdOUK4rzh8cLqskrxBgYHyDewN67byYOjqUcRA",""
"金融危機","網路泡沫","2000年網路泡沫破裂","2000-03-10","2002-10-01","那斯達克指數市值蒸發高達80%。台股從10,202點狂跌至3,446點，跌幅66.22%。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHw-EGkBLSna_JTPj9Ov_Z_csN_JM2pGLNuK6gOqcya42y6e-fi5fGWihceaclhNL4w6urS6T4GFwiNie0EJPsasGGRclQMDkHyMa3NWO7JyrjZQCJGPgC0iBhiAjBNU234YJx2gMof_JEtLA==","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFNzIB9RuUkCuKVYaDCCiamhn_7gSt0V0mFvqp81iFVJxc_2cJmwDgeP9auk2MlICqy9-T3bPqUmuSB_OO4-ms5yOFREnBpSfERp6Ezcbx7U6KrdEgLUKvyOcyih8TbFKH0nqyjLAXxuWG99A5nM1EYqZxHAUWMjSRKbXHouTUsbMu3qPGvwKl9p5TWwao8JplN"
"地緣政治","恐怖攻擊","2001年911恐怖攻擊","2001-09-11","2001-09-17","美國股市在恐怖攻擊後關閉數日，重新開盤後大幅下跌。台灣股市於9月13日開盤後下跌224點，兩度跌破3500點。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEeYON4VzzeE6uU4JkZ_ztxHPXUbCO-bEqssXyF4ErlcnPCANtV0IIuA7qnFYda-4ulh6sSBOQjoVwnL1sXHliX8hdQ6X5zDl50vu34eAjoJNcAof9Z6n-AWaa-qsKvMVtRz1ESxcTacqYLLWhLnp7yZIvqQN1iLbtJSB-wwGU=",""
