"類別","子類別","事件名稱","開始日期","結束日期","備註","Link1","Link2"
"政策衝擊","證所稅事件","1990年證所稅事件","1990-02-12","1990-10-01","台股加權指數從12,682點崩跌至2,485點，全年跌幅達52.93%。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEyIbQ_Shpx7HjyYV4lqIr5E4zPCQuJkM1UE_OtZH7aEuvEb2EHZujZwB7J-vPmN0c7RxAdE820eFuwL9AitC9K8hS6BFRvpeHHYdFDMbfShML3JcWyIEf6dLS65iLwersZDvEYiKbjokk_zdWWP0JIJcng_BJjID1X_paqm4hh9NYPwpHy-VnqN4nbsJD5pWqyS9IoqDCdE1EvXM7-OUvQDZXMdZaim_4x_pkEREdFekeCnu-Y4B3UhtUr8h0VPqgMjk9OHDUcQZzG3hlxXx3lG90lxskuVtmk-jzlFeaIWxbBTWiiZASymVA0WVHEQdzNa6HOvJ9TXyfRbHFY901frclDCdQHmNnJrJRgs8SE-CfODvZY5f68r15GQmtnFDU8qMQ47lcPAmPeE9qijFNhBUtqMD8n74echWYwqjcEmV","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFkKhMVmyIJnZ6-dt2rkMPTZP8uM2ZYiOrimAdLAxqDto9edEOt8jCfvj4eeFOIJKLTHWV2KgxCgDWWi6k753xMFnHt-BqplgdNtKsyHjvbbxi4ph0SEF_Ex2j5_lu-of48PYfVwmCpCk7lFmI="
"地緣政治","戰爭衝突","波斯灣戰爭","1990-08-02","1991-02-28","伊拉克入侵科威特後，美股道瓊指數下跌約20%，台股跌幅達53.02%。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQE0rY0TFDOeTDbJ2TYfHzyzngCnYX6zfctU5iyGeoRuCTWCNQ7fxX6SJpwN5nmlGqqgoVT0Ka4Qqz_n42XdWhX1LNZkxcnLxE_8BRnjqt3WMshzuM1F6HzEjZ8f0PD0Thorgz0Jng==","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGXSezUtotjn5lvkmnhEXQgE_Nr1SIv4QOuHJlA_sPNtbA3spD1-8XtqLA-drfudjw6pBgNKs0TC6rO6fIpUGMysNSp-JTRo2jfG24Cj5oBgz7frdmc5vHWai2NqrAQ"
"地緣政治","政治黑天鵝","1995年台海飛彈危機","1995-07-21","1996-03-25","中共試射飛彈導致台海關係緊張，台股加權指數由7,051點狂跌至4,503點。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQF2Sow45-bkGSGd_Ekeiu-Cgp7-gm3G6S6FW9w_KGyVdMsxx6GEkJVD1Zg8L3MZHmjC3P7f4R2sk2XIWrx3lv5-A-NnvlTTHPC0EwOuunjZHQOoy9SRNW5P_jZX5iV3PvNXtH3YrO7f9XH8aEB4bw==",""
"金融危機","亞洲金融風暴","亞洲金融風暴","1997-07-02","1999-02-05","泰銖貶值引發東南亞經濟崩潰，台灣股市承受壓力，加權指數從10,116點跌至5,474點。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG8sBNJESSmE6Z0t-1jK03hEJcAabfTIqjh1noCbFeCmFzZTnYUlGjLjK-NgwrcNku9ZvyhXQoWCqB4vxSLsbDZKe4IduzdkRd_3Ti0izXCCO3vEvN1SpzqcRfQm3BO6D_sk9KiJiQ5ZPYMCwE=","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEp9DYI3XCihBwkR74Pn_kT36IQ8gvniXxyQ4jW6TFQkSJZOcHElKdefvSzXbXuSdF3ie44xvdHJm1cDcy0qTJEJe7oV3b_be3SYOZAJcVDQffDMAHxZA6t72qaCRKs-jYHL-jPgHqsyhpDPbgYysz3"
"自然災害","重大震災","921大地震","1999-09-21","1999-09-27","台灣921大地震後，台股短線最大跌幅約6.5%，金融保險類指數跌幅達9.84%。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGmjug4TfYEHAXvtjSvyqV13mpRnTBrLCHdQZ2pK811KHYNuJjC5fsp467xHKfgTPFSyGri8-AU1ukd134hWzk1tL0Djdgb-VF4DDoHOOzSIE8KJziIJ2NBXKGh94YiWZa0hxg7Tnen4Sjz1Qc=","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHvu8BJe6QyWQpzspr3jUDitWsXsXzmHYdc6lzuqjjpYkqty2ya8ab5nuPoU2gzsA_AxvajOva3U9PiapWaDogRJyZqsw5itBhM4G-UqlD-CDc8JI6Td_zIymU3CJ-i9gvo8KI_j14sZl6oOfqwx734BNC-hWX52LRxs8eqv1kIFzm4TrY="
"金融危機","網路泡沫","網路泡沫破裂","2000-03-10","2002-10-09","美國那斯達克指數市值蒸發39.3%，台股跌幅近七成。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHLNXDSHC5mArSHC31tDxUzPLVJXlk0zYNR4zN11uz8zBEWuCBz49A_iS9_O9rUfMv5f1KUDiOH1BveYyWRLgZ9J4OSx_m3qLD92xDVNpeeftOW4JDWmPnDDnr3WSx14U-fL4KTC339hVIhStGM3r5IqHAKU6oi4ELqL7Pfsw8uJFfvO3AeXOO0PZJjNmYP1Rm5tHPMjczZlq58sLXpNjVZJoeYxa9YFmKrPJknfrHcTYVg5sMzjfwFOeC9crzUA_HHPDBKo8Hp3P_So_iKTYDCUsNoK8HxycvAohv2Ys6J2mYX2y75dUSEwU0RKBRoA9RTkaLn9HhbDY3LXlnsmuApqPt13A1camOYFGLbCnvr00ZW-4PeX5gXYGd65SzKS-mleJaMBhQ3tTQdb4bzh8vbyBHCHELrvkmx1ANYryiujZeFBmt47HDI49hu9FvWfk4aePk2jd6vPTiv7TWADx9yoBHcSUND4A==",""
"地緣政治","恐怖攻擊","911恐怖攻擊事件","2001-09-11","2001-09-17","美國股市關閉多日，重開後道瓊指數一週內狂跌15%，標普500指數總跌幅11.6%。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGHJzpfHQaQ4ZcXv50u5U0N4hvZUtLEEgljwtQw0kfWZj7-JPMBPlUgJQo6_2phJVZ5hU64SXQB1pbwdlfTMTjpXW4h89SLFQuFz13DxCYs1k3xnGj_looL2ZYc57h7Cl7-RYxcBg67k9BIG6uZLpLRZofm1OlCnkP_nR2ubEtfMMCv7XsHhsreXv1oJI=","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQE9Bs6VeyLQwJpzm9FFUTn3MpCzM20watdv8alIBfWnJxoPGfIyYKo2UcLHQirrM1MtV6K87kE8WxtA64Id5X5U2cm1Rs4hJezhaaEYc_g8bTeXhAGS8VmqG3-TkucECbM2lieHo7y_uMB1HTv4fg=="
"公共衛生","傳染病爆發","SARS疫情爆發","2003-03-12","2003-07-05","全球股市波動，台灣股市受到影響。","https://zh.wikipedia.org/wiki/%E4%B8%A5%E9%87%8D%E6%80%A5%E6%80%A7%E5%91%BC%E5%90%B8%E7%B3%BB%E7%BB%9F%E7%BB%BC%E5%90%88%E7%97%87",""
"金融危機","次貸危機","全球金融危機 (次貸危機)","2007-08-09","2009-03-09","由美國次級房貸引爆，蔓延成全球性金融危機，美股跌幅達30-50%，台股跌幅達58%。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGZ_tJFjy1KHPXBpq5wVP3gEUZWEaxQ2H5aeLoLVrEA5Ig2rj4nzPr-7idHwSiZ_uAYToIMJoZn8hP0zwZe7H33hyI5Akut9qUBdlvRETcADqMEWB3C36nDTadi_vJo4SjevoiQKNQ2dMdMPNLlnq00","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQE10HlmDlMIZkMv3r1KcqR6oD3Lz-DC7Hj4syqQIawAc0aAOqtFd11bOp9fEdvJs7IRdnHza2W3ZbnS5pXd5UKFa6eOfu7S1rogMoeHn6_1VqS_MjvsDqzbffSALY-7-jr2JhCWiSXBP1AbFrA="
"金融危機","歐債危機","歐債危機","2010-02-05","2012-11-29","希臘財政危機引發歐債風暴，2011年全球股市市值縮水12%，台股加權指數下跌21%。","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHCpRbIbBcdiDoFK9WL7j6DFL0ys5qFjgZcI34BWwJZ-ctT7-GseJweMVcnsCAoT3ApsJP_4arZ8wGV35uTnwEtXq_LkJTWXAq_0swqLTOvJbWxcMIYgI4Y4nBWulMXRvic8N6CbG1iYvjN7hQPJyqVtxeDmb-b1NyiDNf8AoGEJ-s=","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHMumxBz2szHlu_IVME9G5KUGCFcoVtC1qMt_HdhHZX2Uy4QgplqwywkG8Vg8kHVwWXjXBiw5vTebpVEdATjRcRXtFSN3Wyo-UBTYygoiePGR1LUwT55VApJ1ze2fRJpPEkWzHsGZILJdxS0jo="
